Data Source URL, Publisher Title, Package Name, Type, Site URL, email,Category), Publisher ID, Package Title, Package ID, Package URL
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
http://inspire.misoportal.com/geoserver/adur_and_worthing_council_allotments/wms?request=getCapabilities, Adur District Council, allotments46, organization, , , local-council, 58011ef9-29dc-4729-86e6-82b86d5376ba, Allotments, b1f2f7be-d024-425f-b6ff-5d8f45d86738, http://data.gov.uk/api/3/action/package_show?id=b1f2f7be-d024-425f-b6ff-5d8f45d86738
